,major_category,middle_category,name,number,limit,exclusive,target_gender,buy_gender,buy_age,view,like,price,discount_rate,delivery_date,rating,review,buy
4455,스포츠/용품,하의,드라이액션™ 5-inch 쇼츠 (브리프 내장) [블랙],M32001APS40BLK,0,1,0,0.0,"('29~33세', 0)",1400.0,820,37900.0,0,4.0,4.9,351,1100.0
4456,바지,코튼 팬츠,VTG Heavy Snow Pants Washed Olive,HCR2306PT06,1,0,0,,"('19~23세', 0)",1500.0,109,193000.0,0,4.0,5.0,2,
4457,바지,데님 팬츠,TWO TUCK DENIM BAGGY PANTS (YELLOW BLUE),11329,0,0,2,,"('19~23세', 0)",1600.0,195,169000.0,0,5.0,,0,
4458,바지,코튼 팬츠,Heraldic Pants,23CLPT002-013,0,0,0,0.0,"('19~23세', 0)",1700.0,539,149000.0,0,4.0,5.0,14,50.0
4459,바지,데님 팬츠,Knee Pin-tuck Printed Denim Pants (Black),AK23PT02BK,0,0,0,1.0,"('19~23세', 0)",2100.0,1870,143100.0,10,4.0,4.9,120,300.0
4460,바지,데님 팬츠,Rigid Indigo Denim Balloon Pants,AG20212005,0,0,0,0.0,"('19~23세', 0)",1900.0,2006,111200.0,20,4.0,4.8,195,250.0
4461,바지,코튼 팬츠,French M-47 Field Pants - Olive,YMCLKY,0,0,0,0.0,"('29~33세', 0)",1600.0,344,110400.0,20,4.0,5.0,71,50.0
4462,바지,슈트 팬츠/슬랙스,슬림핏 히든밴딩 브러시드 슬랙스 112910,5000829390,0,0,0,0.0,"('29~33세', 0)",1700.0,177,29000.0,52,4.0,4.8,21,150.0
4463,스포츠/용품,하의,HGVN 데일리 8부 반바지 4컬러,9-5,0,0,0,0.0,"('19~23세', 0)",1000.0,296,33000.0,0,4.0,4.9,90,200.0
4464,바지,데님 팬츠,DENIM SWEAT BANDING PANTS - INDIGO,23W-PT001(IN),0,0,1,,"(0, 0)",350.0,65,149000.0,0,4.0,,0,
4465,바지,데님 팬츠,블리치 사이드 패널 데님 팬츠,Bleach Side Panel Denim Pants,0,0,0,0.0,"('19~23세', '24~28세')",3400.0,1490,97200.0,10,4.0,4.8,118,300.0
4466,바지,코튼 팬츠,Wide Baker Pants Olive,20220808-05,1,0,2,0.0,"('24~28세', 0)",5800.0,2717,107000.0,10,4.0,4.9,389,1100.0
